model,lr,bs,epochs,dp,nmul,nmicro,l2,eps,tr_acc,tr_loss,val_acc,val_loss
0,0.1,250,29,FALSE,NA,NA,NA,NA,0.6741799712181091,0.9158967137336731,0.6022999882698059,1.3388609886169434
0,0.1,250,30,FALSE,NA,NA,NA,NA,0.8357200026512146,0.46636268496513367,0.6248000264167786,1.4990180730819702
0,0.1,250,31,FALSE,NA,NA,NA,NA,0.8923599720001221,0.3091669976711273,0.6261000037193298,1.5654079914093018
0,0.1,250,32,FALSE,NA,NA,NA,NA,0.9316200017929077,0.20618712902069092,0.6071000099182129,1.7833034992218018
0,0.1,250,33,FALSE,NA,NA,NA,NA,0.9542199969291687,0.15160158276557922,0.6327000260353088,1.7319835424423218
0,0.1,250,34,FALSE,NA,NA,NA,NA,0.978659987449646,0.0874379426240921,0.6388000249862671,1.865888237953186
0,0.1,250,35,FALSE,NA,NA,NA,NA,0.9906600117683411,0.05093482881784439,0.6381000280380249,2.02093768119812
0,0.1,250,36,FALSE,NA,NA,NA,NA,0.9965199828147888,0.030334599316120148,0.6431000232696533,2.1018171310424805
0,0.1,250,37,FALSE,NA,NA,NA,NA,0.9983800053596497,0.01953478716313839,0.6462000012397766,2.202357530593872
0,0.1,250,38,FALSE,NA,NA,NA,NA,0.999239981174469,0.01367829367518425,0.642300009727478,2.2629621028900146
0,0.1,250,39,FALSE,NA,NA,NA,NA,0.9995200037956238,0.010306376963853836,0.6450999975204468,2.3308677673339844
0,0.1,250,40,FALSE,NA,NA,NA,NA,0.9996799826622009,0.008451079949736595,0.646399974822998,2.373199701309204
0,0.1,250,41,FALSE,NA,NA,NA,NA,0.9998800158500671,0.006875534076243639,0.6471999883651733,2.435852289199829
0,0.1,250,42,FALSE,NA,NA,NA,NA,0.9998999834060669,0.005906342063099146,0.6468999981880188,2.497410774230957
0,0.1,250,43,FALSE,NA,NA,NA,NA,0.9998800158500671,0.005095230415463448,0.647599995136261,2.53692626953125
0,0.1,250,44,FALSE,NA,NA,NA,NA,0.9999799728393555,0.004378060344606638,0.6474000215530396,2.559941530227661
0,0.1,250,45,FALSE,NA,NA,NA,NA,0.9999799728393555,0.0038946056738495827,0.6478000283241272,2.5946171283721924
0,0.1,250,46,FALSE,NA,NA,NA,NA,1,0.003528913017362356,0.6470999717712402,2.6321423053741455
0,0.1,250,47,FALSE,NA,NA,NA,NA,1,0.0031694320496171713,0.6488000154495239,2.661127805709839
0,0.1,250,48,FALSE,NA,NA,NA,NA,1,0.002938034711405635,0.6477000117301941,2.6924057006835938
0,0.1,250,49,FALSE,NA,NA,NA,NA,1,0.002688560402020812,0.6485999822616577,2.704819440841675
0,0.1,250,50,FALSE,NA,NA,NA,NA,1,0.002496733795851469,0.6484000086784363,2.7296581268310547
0,0.1,250,51,FALSE,NA,NA,NA,NA,1,0.0023293544072657824,0.6481999754905701,2.758737325668335
0,0.1,250,52,FALSE,NA,NA,NA,NA,1,0.0021732025779783726,0.6470000147819519,2.776885747909546
0,0.1,250,53,FALSE,NA,NA,NA,NA,1,0.0020355996675789356,0.6485999822616577,2.794071674346924
0,0.1,250,54,FALSE,NA,NA,NA,NA,1,0.0019057333702221513,0.6481000185012817,2.82100772857666
0,0.1,250,55,FALSE,NA,NA,NA,NA,1,0.0018206208478659391,0.6480000019073486,2.8379874229431152
0,0.1,250,56,FALSE,NA,NA,NA,NA,1,0.001712794997729361,0.6481999754905701,2.848001480102539
0,0.1,250,57,FALSE,NA,NA,NA,NA,1,0.0016256311209872365,0.6470999717712402,2.8688995838165283
0,0.1,250,58,FALSE,NA,NA,NA,NA,1,0.0015440076822414994,0.6482999920845032,2.884187936782837
0,0.1,250,59,FALSE,NA,NA,NA,NA,1,0.0014792813453823328,0.647599995136261,2.900465488433838
0,0.1,250,60,FALSE,NA,NA,NA,NA,1,0.0014077195664867759,0.6485000252723694,2.9147732257843018
0,0.1,250,61,FALSE,NA,NA,NA,NA,1,0.0013485575327649713,0.6471999883651733,2.9301483631134033
0,0.1,250,62,FALSE,NA,NA,NA,NA,1,0.001293071429245174,0.6474000215530396,2.942178726196289
0,0.1,250,63,FALSE,NA,NA,NA,NA,1,0.0012369654141366482,0.6470000147819519,2.955071449279785
0,0.1,250,64,FALSE,NA,NA,NA,NA,1,0.0011881482787430286,0.647599995136261,2.970961809158325
0,0.1,250,65,FALSE,NA,NA,NA,NA,1,0.0011447338620200753,0.6466000080108643,2.9820449352264404
0,0.1,250,66,FALSE,NA,NA,NA,NA,1,0.0011033873306587338,0.6478000283241272,2.996777057647705
0,0.1,250,67,FALSE,NA,NA,NA,NA,1,0.0010643098503351212,0.6477000117301941,3.0099892616271973
0,0.1,250,68,FALSE,NA,NA,NA,NA,1,0.0010282665025442839,0.6468999981880188,3.0193276405334473
0,0.1,250,69,FALSE,NA,NA,NA,NA,1,9.934566915035248e-4,0.6470000147819519,3.03143310546875
0,0.1,250,70,FALSE,NA,NA,NA,NA,1,9.577489690855145e-4,0.6474999785423279,3.043762445449829
0,0.1,250,71,FALSE,NA,NA,NA,NA,1,9.301523095928133e-4,0.6470999717712402,3.052309274673462
0,0.1,250,72,FALSE,NA,NA,NA,NA,1,8.994462550617754e-4,0.6474000215530396,3.0624451637268066
0,0.1,250,73,FALSE,NA,NA,NA,NA,1,8.739931508898735e-4,0.6470000147819519,3.0715885162353516
0,0.1,250,74,FALSE,NA,NA,NA,NA,1,8.480125688947737e-4,0.6471999883651733,3.0805246829986572
0,0.1,250,75,FALSE,NA,NA,NA,NA,1,8.226113277487457e-4,0.6474999785423279,3.091165065765381
0,0.1,250,76,FALSE,NA,NA,NA,NA,1,7.992131868377328e-4,0.6467999815940857,3.101722240447998
0,0.1,250,77,FALSE,NA,NA,NA,NA,1,7.753845420666039e-4,0.646399974822998,3.1104612350463867
0,0.1,250,78,FALSE,NA,NA,NA,NA,1,7.563599501736462e-4,0.6474000215530396,3.1213815212249756
0,0.1,250,79,FALSE,NA,NA,NA,NA,1,7.359212613664567e-4,0.6468999981880188,3.1275930404663086
0,0.1,250,80,FALSE,NA,NA,NA,NA,1,7.169042946770787e-4,0.6473000049591064,3.1376969814300537
0,0.1,250,81,FALSE,NA,NA,NA,NA,1,6.987311062403023e-4,0.6471999883651733,3.1450536251068115
0,0.1,250,82,FALSE,NA,NA,NA,NA,1,6.825035088695586e-4,0.6466000080108643,3.1543233394622803
0,0.1,250,83,FALSE,NA,NA,NA,NA,1,6.653664167970419e-4,0.6467000246047974,3.1610312461853027
0,0.1,250,84,FALSE,NA,NA,NA,NA,1,6.494630943052471e-4,0.6468999981880188,3.1699817180633545
0,0.1,250,85,FALSE,NA,NA,NA,NA,1,6.343031418509781e-4,0.6471999883651733,3.1765177249908447
0,0.1,250,86,FALSE,NA,NA,NA,NA,1,6.201912765391171e-4,0.6470999717712402,3.185892105102539
0,0.1,250,87,FALSE,NA,NA,NA,NA,1,6.060241139493883e-4,0.6477000117301941,3.1921651363372803
0,0.1,250,88,FALSE,NA,NA,NA,NA,1,5.92796306591481e-4,0.6474999785423279,3.2006213665008545
0,0.1,250,89,FALSE,NA,NA,NA,NA,1,5.798009224236012e-4,0.6480000019073486,3.2094550132751465
0,0.1,250,90,FALSE,NA,NA,NA,NA,1,5.67557814065367e-4,0.6474999785423279,3.2148611545562744
0,0.1,250,91,FALSE,NA,NA,NA,NA,1,5.552739603444934e-4,0.6473000049591064,3.223088264465332
0,0.1,250,92,FALSE,NA,NA,NA,NA,1,5.447004805319011e-4,0.647599995136261,3.231659173965454
0,0.1,250,93,FALSE,NA,NA,NA,NA,1,5.335873574949801e-4,0.6467000246047974,3.2354471683502197
0,0.1,250,94,FALSE,NA,NA,NA,NA,1,5.230613169260323e-4,0.6478000283241272,3.2433395385742188
0,0.1,250,95,FALSE,NA,NA,NA,NA,1,5.12672879267484e-4,0.6471999883651733,3.2479915618896484
0,0.1,250,96,FALSE,NA,NA,NA,NA,1,5.028382292948663e-4,0.6477000117301941,3.256225109100342
0,0.1,250,97,FALSE,NA,NA,NA,NA,1,4.930117283947766e-4,0.6478999853134155,3.2650606632232666
0,0.1,250,98,FALSE,NA,NA,NA,NA,1,4.837182641495019e-4,0.6473000049591064,3.2676758766174316
0,0.1,250,99,FALSE,NA,NA,NA,NA,1,4.754133988171816e-4,0.6478999853134155,3.273092269897461
0,0.1,250,100,FALSE,NA,NA,NA,NA,1,4.6674557961523533e-4,0.6481999754905701,3.282383680343628
0,0.1,250,1,TRUE,0.01,5,1,1088455.4800511731,0.2633799910545349,2.035696268081665,0.33500000834465027,1.8939783573150635
0,0.1,250,2,TRUE,0.01,5,1,2176799.181844767,0.3664799928665161,1.781201958656311,0.39660000801086426,1.6864795684814453
0,0.1,250,3,TRUE,0.01,5,1,3265142.8836383615,0.416020005941391,1.641839623451233,0.4325000047683716,1.5854543447494507
0,0.1,250,4,TRUE,0.01,5,1,4353486.585431956,0.4524399936199188,1.5377839803695679,0.4731000065803528,1.4834643602371216
0,0.1,250,5,TRUE,0.01,5,1,5441830.28722555,0.48170000314712524,1.4717761278152466,0.4869999885559082,1.4453577995300293
0,0.1,250,6,TRUE,0.01,5,1,6530173.989019144,0.502560019493103,1.4134056568145752,0.5026000142097473,1.404274344444275
0,0.1,250,7,TRUE,0.01,5,1,7618517.690812739,0.51910001039505,1.3653045892715454,0.5299999713897705,1.3229217529296875
0,0.1,250,8,TRUE,0.01,5,1,8706861.392606333,0.5375400185585022,1.3234481811523438,0.5372999906539917,1.303444743156433
0,0.1,250,9,TRUE,0.01,5,1,9795205.094399927,0.550599992275238,1.2809083461761475,0.5497999787330627,1.2805285453796387
0,0.1,250,10,TRUE,0.01,5,1,10883548.796193521,0.5620200037956238,1.2485733032226562,0.5508999824523926,1.2568529844284058
0,0.1,250,11,TRUE,0.01,5,1,11971892.497987116,0.5727999806404114,1.2161771059036255,0.5679000020027161,1.2384660243988037
0,0.1,250,12,TRUE,0.01,5,1,13060236.19978071,0.585919976234436,1.182511329650879,0.5785999894142151,1.198286533355713
0,0.1,250,13,TRUE,0.01,5,1,14148579.901574304,0.5947800278663635,1.1531873941421509,0.5878999829292297,1.1779272556304932
0,0.1,250,14,TRUE,0.01,5,1,15236923.603367899,0.6052600145339966,1.1282663345336914,0.5789999961853027,1.2042551040649414
0,0.1,250,15,TRUE,0.01,5,1,16325267.305161493,0.6136599779129028,1.103352665901184,0.5967000126838684,1.147189736366272
0,0.1,250,16,TRUE,0.01,5,1,17413611.006955087,0.6226800084114075,1.0791997909545898,0.6040999889373779,1.1355141401290894
0,0.1,250,17,TRUE,0.01,5,1,18501954.708748683,0.6319199800491333,1.053025245666504,0.599399983882904,1.136212706565857
0,0.1,250,18,TRUE,0.01,5,1,19590298.410542276,0.6413599848747253,1.0300077199935913,0.6182000041007996,1.090395212173462
0,0.1,250,19,TRUE,0.01,5,1,20678642.112335872,0.6482800245285034,1.007735013961792,0.6189000010490417,1.0980422496795654
0,0.1,250,20,TRUE,0.01,5,1,21766985.814129464,0.6547799706459045,0.987943708896637,0.6133000254631042,1.1037648916244507
0,0.1,250,21,TRUE,0.01,5,1,22855329.51592306,0.6616600155830383,0.96741783618927,0.6140000224113464,1.0901079177856445
0,0.1,250,22,TRUE,0.01,5,1,23943673.217716653,0.6696199774742126,0.9469575881958008,0.628000020980835,1.0675334930419922
0,0.1,250,23,TRUE,0.01,5,1,25032016.91951025,0.678059995174408,0.9255169630050659,0.6230999827384949,1.0930546522140503
0,0.1,250,24,TRUE,0.01,5,1,26120360.62130384,0.684939980506897,0.9063245058059692,0.6284999847412109,1.062515139579773
0,0.1,250,25,TRUE,0.01,5,1,27208704.323097438,0.6905999779701233,0.888029932975769,0.6488000154495239,1.0140641927719116
0,0.1,250,26,TRUE,0.01,5,1,28297048.02489103,0.6958199739456177,0.8741827011108398,0.6488000154495239,1.0102298259735107
0,0.1,250,27,TRUE,0.01,5,1,29385391.726684626,0.7002999782562256,0.8610538244247437,0.6482999920845032,1.0162650346755981
0,0.1,250,28,TRUE,0.01,5,1,30473735.42847822,0.7088599801063538,0.841964066028595,0.659600019454956,0.9862099289894104
0,0.1,250,29,TRUE,0.01,5,1,31562079.130271815,0.7158399820327759,0.824580729007721,0.6452999711036682,1.0218313932418823
0,0.1,250,30,TRUE,0.01,5,1,32650422.832065407,0.719980001449585,0.8110140562057495,0.6571999788284302,0.999802827835083
0,0.1,250,31,TRUE,0.01,5,1,33738766.53385901,0.7239599823951721,0.7993077039718628,0.656000018119812,0.9886717796325684
0,0.1,250,32,TRUE,0.01,5,1,34827110.2356526,0.7282599806785583,0.7830325365066528,0.6503999829292297,1.0026452541351318
0,0.1,250,33,TRUE,0.01,5,1,35915453.9374462,0.7345799803733826,0.7690680027008057,0.6625999808311462,0.9765995144844055
0,0.1,250,34,TRUE,0.01,5,1,37003797.639239796,0.7395600080490112,0.7578290104866028,0.6607999801635742,0.9831598997116089
